Number,Permit #,Permit Type Description,Permit Subtype Description,Parcel,Date Entered,Date,Date Issued,ConstructionCost,Address,City,State,Subdivision Lot,Contact,Permit Type,Permit SubType,IVR Tracking,Purpose,Council District,Lon,Lat,ObjectId,Zip Code,x,y
206,T2021062492,Building Residential - Addition,Single Family Residence,150090A06500CO,9/29/2021 5:00:00 AM,9/29/2021,,869,3040 OWENDALE DR,ANTIOCH,TN,LOT 219 FOREST VIEW PARK SEC 7,santa briseno,CARA,CAA01R301,4043425,"to construct 36Sf covered front porch addition to existing single family residence. 5' side setback, 30' min. front setback per plat. not to be over any easements.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",29,-86.62166453,36.06574962,206,37013,-9642679.587,4309672.194
207,T2021062498,Building Residential - Roofing / Siding,Single Family Residence,9116004900,9/29/2021 5:00:00 AM,9/29/2021,,15225,4603 PARK AVE,NASHVILLE,TN,PT BLK B CHARLOTTE PARK CO 1ST ADDN,paige clancy,CARK,CAA01R301,4043432,"to replace the roof of existing single family residence. no change to footprint, roof work only.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",24,-86.84262787,36.15082997,207,37209,-9667277.114,4321395.24
208,T2021062503,Building Sign Permit,Sign - Ground /  Wall Signs,9215021000,9/29/2021 5:00:00 AM,9/29/2021,,3500,2314 ELLISTON PL,NASHVILLE,TN,LOT 1 WEST END PARTNERSHIP,John Anderson 424-744-7311,CASN,CAZ02A001,4043437,Replacement signage for existing JAMBA JUICE.  (1) Replacing existing façade sign with a 3'1  H x 8'2  W face lit channel letter cabinet on raceway with logo &  JAMBA  lettering. No change to location on façade.  (2) Replacing panels on existing blade sign with a 20  H x 48  W  logo &  JAMBA  lettering panel. No change to location of blade sign.    POC: John Anderson 424-744-7311,21,-86.80625885,36.14962995,208,37203,-9663228.533,4321229.803
209,T2021062538,Building Residential - New,Single Family Residence,7102012900,9/29/2021 5:00:00 AM,9/29/2021,,278852,441 DENNIS DR,NASHVILLE,TN,PT LOT 8 RUCKER SUB BROOKLYN,C & O CONSTRUCTION CO LLC,CARN,CAA01R301,4043467,"To construct a new single family residence with 2300 sq. ft. of living space, 517 sq. ft. garage, and 231 sq. ft. of porches and/or decks.  Minimum: 41.6’ street/front contextual setback [Site Data Table is incorrect]; 5’ side setback(s); and, 20’ rear setback. Must conform to all  easements on property. Shall not exceed three stories. Total building coverage on parcel not to exceed 45%. Individual single and two-family  lot tree density standards apply pursuant to M.C.L. 17.24.100, including at least one two-inch caliper tree for each thirty feet of lot frontage  (or portion thereof), excluding alley frontage. Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs,  which shall be posted in English and Spanish with one double-sided 24  (vertical) × 36  (horizontal) sign posted for every fifty feet of site  frontage, with no more than three signs required per street frontage. No construction and/or demolition waste shall be stored on the property  all such waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.",2,-86.77716685,36.21221687,209,37207,-9659990.026,4329861.514
210,T2021062539,Building Commercial - Rehab,"General Office, Professional Services",6409006300,9/29/2021 5:00:00 AM,9/29/2021,,1000,4113 OLD HICKORY BLVD,OLD HICKORY,TN,LOTS 20 AND 22 BLK B HADLEY BEND CITY,scott sherrod,CACR,CAD02B016,4043497,"to use existing buildings for MCH nashville.    ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***      ………………………………………………….    CODE STAMPED PLANS ATTACHED IN CITYWORKS",11,-86.62588212,36.22436661,210,37138,-9643149.087,4331537.952
211,T2021062550,Building Sign Permit,Sign - Ground /  Wall Signs,13400021600,9/29/2021 5:00:00 AM,9/29/2021,,2460,525 METROPLEX DR,NASHVILLE,TN,LOT 9 METROPLEX SEC 7,JOSLIN SIGN & MAINTENANCE CO INC,CASN,CAZ02A001,4043521,to erect 2) face replacements for existing 8Sf non illuminated ground signs for RX partners.,28,-86.70313474,36.09169076,211,37211,-9651748.809,4313245.225
212,T2021062552,Building Commercial New Storm Damage,"Accessory Structure, Shed / Storage Bldg",16300036100,9/29/2021 5:00:00 AM,9/29/2021,,0,220 CROSSINGS PL,ANTIOCH,TN,LOT 1 THE CROSSINGS AT HICKORY HOLLOW RESUB LOT 2 SEC 1,REDSTONE DEVELOPMENT LLC,CACS,CAA14U011,4043490,Construct an attached storage Shed Structure at the rear of the existing building,32,-86.64983031,36.04465252,212,37013,-9645814.987,4306767.231
213,T2021062551,Building Residential - New,Detached Accessory Dwelling Unit,11801023800,9/29/2021 5:00:00 AM,9/29/2021,,22576,1021 B PARIS AVE,NASHVILLE,TN,LOT 79 PLAN OF IDLEWILD,Cally Charping 615-330-6619,CARN,CAA11R301,4043524,"10/4/2021 Homeowner requested to cancel this application.    Rejected Zoning: Does not meet the lot area requirement. Requires re-zoning to allow for the proposed DADU.    General Contractor required to issue permit.  RECORDED 201609280102469 non DADU restrictive covenant must be removed, and new DADU covenant to be recorded prior to permit issuance.     To convert existing 24’X26’(624 sf) DETACHED ACCESSORY STRUCTURE built on Permit 2016036285 into a Detached Acc. Dwelling Unit. Must conform to all easements on property and BL2014-896. No change to footprint of structure.",18,-86.78867581,36.12126888,213,37204,-9661271.198,4317320.638
214,T2021062572,Building Commercial - New,"Leasing / Sales Office, Other",10508029300,9/29/2021 5:00:00 AM,9/29/2021,,2000,15 B CULVERT ST,NASHVILLE,TN,LOT 11 LUMSDEN 3RD ADDN & PT CLSD ALLEY,ERIN TAYLOR,CACN,CAD03B000,4043571,"Placing leased 32' x 8' construction/office trailer   POC ERIN TAYLOR, (612) 986-5899.",16,-86.75717349,36.13881308,214,37210,-9657764.376,4319738.687
215,T2021062573,Building Residential - Rehab,Single Family Residence,9105026900,9/29/2021 5:00:00 AM,9/29/2021,,12000,816 NASHUA CT,NASHVILLE,TN,LOT 9 BROOKEWOOD PHASE 2,hannah goethel,CARR,CAA01R301,4043572,"to conduct interior renovations to existing single family residence. no change to footprint, to remain single family.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",20,-86.86984106,36.1580381,215,37209,-9670306.472,4322389.017
216,T2021062728,Building Residential - New,Single Family Residence,043010C00800CO,9/29/2021 5:00:00 AM,9/29/2021,,273779,1121 LAWRENCE AVE 1,MADISON,TN,UNIT 8 HOMES AT PIERCE ROAD,B & B CONSTRUCTION-B,CARN,CAA01R301,4043793,"TO CONSTRUCT 2,100SF SINGLE FAMILY RESIDENCE WITH 370SF PORCH AND 424SF GARAGE. MASTER PERMIT 2021008905 NOT TO BE OVER ANY EASEMENTS. MUST COMPLY WITH THE MASTER PERMIT AS APPROVED BY PLANNING PURSUANT # 2006-1263 METROCODE OF LAWS, I (HOLDER OF PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION & DEMOLITION WASTE GENERATED BY ANY & ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. FURTHER, I CERTIFY THAT NO CONSTRUCTION & DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF METRO CODE.; FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY. FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.***",9,-86.70369207,36.27818962,216,37115,-9651810.851,4338967.661
217,T2021062729,Building Residential - New,Single Family Residence,043010C00700CO,9/29/2021 5:00:00 AM,9/29/2021,,273779,1121 LAWRENCE AVE 2,MADISON,TN,UNIT 7 HOMES AT PIERCE ROAD,B & B CONSTRUCTION-B,CARN,CAA01R301,4043794,"TO CONSTRUCT 2,100SF SINGLE FAMILY RESIDENCE WITH 370SF PORCH AND 424SF GARAGE. MASTER PERMIT 2021008905 NOT TO BE OVER ANY EASEMENTS. MUST COMPLY WITH THE MASTER PERMIT AS APPROVED BY PLANNING PURSUANT # 2006-1263 METROCODE OF LAWS, I (HOLDER OF PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION & DEMOLITION WASTE GENERATED BY ANY & ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. FURTHER, I CERTIFY THAT NO CONSTRUCTION & DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF METRO CODE.; FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY. FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.***",9,-86.70368109,36.27827935,217,37115,-9651809.629,4338980.051
218,T2021062579,Building Residential - Rehab,Single Family Residence,11616008900,9/29/2021 5:00:00 AM,9/29/2021,,60000,4020 B ESTES RD,NASHVILLE,TN,LOT 10 WALLACE SUB PART 1,MAJESTIC BUILDING LLP,CARR,CAA01R301,4043586,"Rehab existing garage to DADU. Must comply with BL2021-788. Planning to review. Restrictive covenant required. POC: Steve Lupear, 615-533-0275. No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill. Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) × 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage.",34,-86.83755529,36.10442758,218,37215,-9666712.437,4314999.976
219,T2021062730,Building Residential - New,Single Family Residence,043010C00600CO,9/29/2021 5:00:00 AM,9/29/2021,,273779,1121 LAWRENCE AVE 3,MADISON,TN,UNIT 6 HOMES AT PIERCE ROAD,B & B CONSTRUCTION-B,CARN,CAA01R301,4043795,"TO CONSTRUCT 2,100SF SINGLE FAMILY RESIDENCE WITH 370SF PORCH AND 424SF GARAGE. MASTER PERMIT 2021008905 NOT TO BE OVER ANY EASEMENTS. MUST COMPLY WITH THE MASTER PERMIT AS APPROVED BY PLANNING PURSUANT # 2006-1263 METROCODE OF LAWS, I (HOLDER OF PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION & DEMOLITION WASTE GENERATED BY ANY & ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. FURTHER, I CERTIFY THAT NO CONSTRUCTION & DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF METRO CODE.; FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY. FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.***",9,-86.70367729,36.27838238,219,37115,-9651809.206,4338994.278
220,T2021063098,Building Commercial - Rehab,"Warehouse, Storage S-1",12100015200,9/30/2021 5:00:00 AM,9/30/2021,,121188,2701 COUCHVILLE PIKE 103,NASHVILLE,TN,LOT 1 HAMILTON CREEK,LUKE SELEDEE,CACR,CAH10S001,4044313,"Building A at 2737 Couchville Pike is an existing storage warehouse with multiple tenant  warehouse areas separated by demising walls. The SOW is limited to updating the  storage configuration of the East-most tenants warehouse section of the building. This will  include the installation of new storage racks up to 21'-0''. The new configuration will  include high piled rack storage of PVC plastic window products. Building structure and  architecture is not to be altered as part of this scope of work. The SOW includes the  development of updated Life Safety Plans and High Piled Storage Plans for the new  storage configuration within the warehouse.  POC LUKE SELEDEE, 913-742-5404.",13,-86.63624521,36.11217129,220,37217,-9644302.701,4316066.966
221,T2021063120,Building Residential - Rehab,Single Family Residence,5905026600,9/30/2021 5:00:00 AM,9/30/2021,,531556,3036 VISTAVALLEY CT,NASHVILLE,TN,LOT 271 BUENA VISTA EST SEC. 6,"Back 40 Properties, LLC",CARR,CAA01R301,4044351,"General rehab of a single family residence. Interior renovations of floors, drywall, bathrooms, roof, kitchen, and deck. Plumbing, HVAC, and electrical will be performed by licensed subcontractors. No additions to the property. No change to building/roof lines or footprint. No second kitchen, to remain single family residence.    For every 50 feet of site frontage a double-sided sign 24 x36' in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835. no more than three signs are required.",1,-86.83168781,36.22593556,221,37218,-9666059.272,4331754.457
222,T2021063153,Building Demolition Permit,Demolition Permit - Commercial,9216016600,9/30/2021 5:00:00 AM,9/30/2021,,10604,112 19TH AVE S,NASHVILLE,TN,PT LOT 139 BOYD HOME TRACT,Demo Plus Inc,CADM,CAZ01A002,4044394,"Demolition of Structure slabs and footing remain. NOT TO BE BURNED ON SITE.  WORK ON THIS DEMOLITION PERMIT MUST COMMENCE WITHIN THIRTY (30) DAYS OF ISSUANCE AND BE COMPLETED SIXTY (60) DAYS AFTER COMMENCEMENT. THIS PERMIT EXPIRES 90 DAYS AFTER THE PERMIT IS ISSUED. PLEASE CALL 811 BEFORE YOU DIG.  APPLICANT MUST SUBMIT COMPLETED DEMOLITION COMMENCEMENT AFFIDAVIT FORM UPON COMMENCEMENT OF DEMOLITION. ***PURSUANT TO ORDINANCE NO. 2006-1263 OF THE METROPOLITAN CODE OF LAWS, I (THE HOLDER ON THIS PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION AND DEMOLITION WASTE GENERATED BY ANY AND ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL.   FURTHER, I CERTIFY THAT NO CONSTRUCTION AND DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF THE METROPOLITAN CODE***",19,-86.79660452,36.15147018,222,37203,-9662153.818,4321483.501
223,T2021063192,Building Demolition Permit,Demolition Permit - Residential,8108031000,9/30/2021 5:00:00 AM,9/30/2021,,6000,1821 B 3RD AVE N,NASHVILLE,TN,LOT PT 48 D T MCGAVOCK,"HART-LOVE ENTERPRISES, LLC",CADM,CAZ01A001,4044433,"TO DEMOLISH EXISTING RESIDENCE.  NOT TO BE BURNED ON SITE.  WORK ON THIS DEMOLITION PERMIT MUST COMMENCE WITHIN THIRTY (30) DAYS OF ISSUANCE AND BE COMPLETED SIXTY (60) DAYS AFTER COMMENCEMENT. THIS PERMIT EXPIRES 90 DAYS AFTER THE PERMIT IS ISSUED. PLEASE CALL 811 BEFORE YOU DIG.  APPLICANT MUST SUBMIT COMPLETED DEMOLITION COMMENCEMENT AFFIDAVIT FORM UPON COMMENCEMENT OF DEMOLITION. ***PURSUANT TO ORDINANCE NO. 2006-1263 OF THE METROPOLITAN CODE OF LAWS, I (THE HOLDER ON THIS PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION AND DEMOLITION WASTE GENERATED BY ANY AND ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL.   FURTHER, I CERTIFY THAT NO CONSTRUCTION AND DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF THE METROPOLITAN CODE***",19,-86.79290591,36.18620904,223,37208,-9661742.09,4326273.792
224,T2021063202,Building Residential - New,Single Family Residence,181110E14400CO,9/30/2021 5:00:00 AM,9/30/2021,,333912,9279 BARCO RD,BRENTWOOD,TN,LOT 144 HILL PROPERTY PH 1B,"NVR, INC. T/A RYAN HOMES",CARN,CAA01R301,4044445,"****ZONING SHOWN AS AR2A. NEED LAND MANAGEMENT UP DATE TO INITIATE ZONING REVIEW    TO CONSTRUCT A 2,591 SQ FT SINGLE FAMILY HOUSE WITH A 400 SQ FT GARAGE & A 19  SQ FT FRONT PORCH. 20’ MIN FRONT S/B, 5’ MIN SIDE S/B, 20’ MIN REAR S/B.    *** FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY… …     ***FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED… …",31,-86.68593114,36.00332559,224,37027,-9649833.713,4301078.978
225,T2021063235,Building Commercial - Tenant Finish Out,Restaurant (Fast Food),8600033600,10/1/2021 5:00:00 AM,10/1/2021,,156210,5570 OLD HICKORY BLVD 105,HERMITAGE,TN,LOT 1-D RESUB LOT 1-A NORTHLAKE VILLAGE,ODOM PERMIT,CACT,CAF30A203,4044485,"Commercial PUD, SCR zoning.  Tenant Build-out of existing 2,540sf space in Suite 105 for BURGER FI restaurant. Shell building permit is 2020061833. Pursuant # 2006-1263  Metro Code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.   POC ODOM PERMIT",12,-86.6050303,36.18025668,225,37076,-9640827.873,4325452.844
226,T2021063238,Building Demolition Permit,Demolition Permit - Residential,13607010600,10/1/2021 5:00:00 AM,10/1/2021,,6000,104 COASTAL CT E,NASHVILLE,TN,LOT 173 PRIEST LAKE PARK SEC 4,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),CADM,CAZ01A001,4044487,"Demolition of existing house and all outbuildings, nothing to remain on site.  …………Pursuant to Ordinance No. 2006-1263 of the Metropolitan code of Laws, I (the  holder on this permit)   hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.   Further, I certify that no construction and demolition waste shall be stored on the property in violation of any provision of the Metropolitan Code….",29,-86.60686409,36.09844509,226,37217,-9641032.01,4314175.733
227,T2021063279,Building Residential - Rehab,Single Family Residence,8313041500,10/1/2021 5:00:00 AM,10/1/2021,,0,1500 FATHERLAND ST,NASHVILLE,TN,LOT 115 BLK N LINDSLEY HOME PLACE,MUSIC CITY BUILDERS,CARR,CAA01R301,4044545,"Rejected: Incorrect permit type. Go to CARA-T2021063756	    New, single-story, rear addition. Total footprint existing: +/- 1336SF. Total footprint addition: +/- 1040SF. Total completed footprint: +/- 2376SF.  Minimal interior renovation on existing structure. Exterior finishes to match that of existing.",6,-86.74434716,36.17341769,227,37206,-9656336.555,4324509.691
228,T2021063333,Building Residential - Addition,"Accessory Structure, Garage",10314010700,10/1/2021 5:00:00 AM,10/1/2021,,448556,200 HILLWOOD BLVD,NASHVILLE,TN,LOT 1 BLK A HILLWOOD EST,Castle Homes,CARA,CAA14U009,4044634,"Build detached auxiliary structure. To be used as exercise space with one full bath. 15’ MIN SIDE S/B, 20’ MIN REAR S/B. NOT TO BE USED AS LIVING SPACE… …NOT TO BUILD OVER OR OBSTRUCT ANY EASEMENTS ON PROPERTY… …     ***FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED… …",20,-86.85578741,36.12524008,228,37205,-9668742.027,4317867.926
229,T2021063413,Building Residential - New,Single Family Residence,7214037300,10/1/2021 5:00:00 AM,10/1/2021,,364584,1801 A CAHAL AVE,NASHVILLE,TN,"PT LOT 9 BELLE FOREST, RESUB OF LOT 9 UNRECORDED",TOUCHSTONE BUILDERS INC,CARN,CAA01R301,4044765,"Rejected: Separate parcels and addresses required for each unit of HPR. Need stamped front elevation with overall height and width labeled from finished grade.  This permit to construct 1801 Cahal Ave unit A of new HPR/duplex family residence with 2,743 sq ft of living space, 506 sq ft garage, and 314 sq ft of porches and decks. Minimum 5 ft side setbacks, minimum front setback at 41.80 ft, 20 ft minimum side street setback, and 20 ft minimum rear setback. With Minimum 6' between houses and must conform to all easements on property. Maximum height of 1.5 to width ratio from natural grade. Maximum building coverage on total parcel not to exceed 50%..... Pursuant # 2006-1263 Metro Code of Laws, I (holder OF permit) hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code. Sidewalks ARE required for this project because this parcel is within the UZO. For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.",7,-86.73234275,36.19600858,229,37206,-9655000.23,4327625.476
230,T2021063417,Building Residential - New,Single Family Residence,7214037300,10/1/2021 5:00:00 AM,10/1/2021,,364584,1801 B CAHAL AVE,NASHVILLE,TN,"PT LOT 9 BELLE FOREST, RESUB OF LOT 9 UNRECORDED",TOUCHSTONE BUILDERS INC,CARN,CAA01R301,4044770,"Rejected: Separate parcels and addresses required for each unit of HPR. Need stamped front elevation with overall height and width labeled from finished grade.    This permit to construct 1801 Cahal Ave unit B of new HPR/duplex family residence with 2,743 sq ft of living space, 506 sq ft garage, and 314 sq ft of porches and decks. Minimum 5 ft side setbacks, minimum front setback at 41.80 ft, 20 ft minimum side street setback, and 20 ft minimum rear setback. With Minimum 6' between houses and must conform to all easements on property. Maximum height of 1.5 to width ratio from natural grade. Maximum building coverage on total parcel not to exceed 50%..... Pursuant # 2006-1263 Metro Code of Laws, I (holder OF permit) hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code. Sidewalks ARE required for this project because this parcel is within the UZO. For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.",7,-86.7322359,36.19600207,230,37206,-9654988.336,4327624.578
231,T2021063468,Building Demolition Permit,Demolition Permit - Residential,7107012400,10/1/2021 5:00:00 AM,10/1/2021,,3000,2201 DICKERSON PIKE,NASHVILLE,TN,NE COR OF DICKERSON PK & E OF TRINITY LN,East Lake Contractors,CADM,CAZ01A001,4044873,WRONG PERMIT TYPE: GO TO NEW APPLICATION CADM-T2021063674	    Demolition of 2201 Dickerson Pike,5,-86.76821895,36.20638177,231,37207,-9658993.951,4329056.471
232,T2021063475,Building Residential - New,Master Permit Application,13306000500,10/2/2021 5:00:00 AM,10/2/2021,,0,200 RAYMOND ST,NASHVILLE,TN,LOT 200 SEC 1 SUNRISE HGTS,HUFFINE FIRST SERVICE,CARN,CAZ03A001,4044912,REJECTED: INCORRECT APPLICATION TYPE. NEW APPLICATION CREATED. GO TO CAUO-T2021063892    200 Raymond  7 unit multifamily with plans attached,16,-86.73977355,36.09851806,232,37211,-9655827.423,4314185.786
233,T2021063494,Building Residential - New,Single Family Residence,8116059600,10/3/2021 5:00:00 AM,10/3/2021,,307226,1018 JACKSON ST,NASHVILLE,TN,PT LOT 18 B W HALL PLAN,METRO CONSTRUCTION SERVICES LLC,CARN,CAA01R301,4044936,"TO CONSTRUCT SINGLE FAMILY RESIDENCE WITH 2640 SQFT OF LIVING AREA … …395 SQFT PORCH/DECK AREA… …22.3' MIN FRONT SETBACK… …3’ MIN SIDE SETBACK… …20’ MIN REAR SETBACK… …MAX BLDG HEIGHT 3 STORIES/35 FEET… …NOT TO BUILD OVER OR OBSTRUCT ANY EASEMENTS ON PROPERTY… …    *** FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY… …     ***FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED… …",19,-86.79523913,36.17023222,233,37208,-9662001.823,4324070.416
234,T2021063505,Building Commercial - Rehab,Restaurant (Full Service),10403025800,10/4/2021 5:00:00 AM,10/4/2021,,0,2511 WEST END AVE,NASHVILLE,TN,LOT 1 VANDERBILT UNIVERSITY CONSOLIDATION PLAT RESUB LT 2,MITCH RUSCH,CACR,CAF19A203,4044950,"interior demo only for mcallisters deli. Pursuant # 2006-1263  Metro Code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.     POC MITCH RUSCH",18,-86.80883561,36.14619187,234,37203,-9663515.377,4320755.838
235,T2021063520,Building Sign Permit,Sign - Ground /  Wall Signs,5914024300,10/4/2021 5:00:00 AM,10/4/2021,,600,755 MOORMANS ARM RD,NASHVILLE,TN,S. SIDE MOORMAN'S ARM ROAD E. OF BUENA VISTA PIKE,"ORTWEIN, BILL SIGNS, INC",CASN,CAZ02A001,4044969,to erect 39SF non illuminated wall sign for Stay Fresh Cleaning Center.,2,-86.81677015,36.21468802,235,37207,-9664398.645,4330202.465
